Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 100C Model)",0.565,0.544
"Bus Turnaround Time (Slow 1100mV 100C Model)",3.268,--
"Core (Slow 1100mV 100C Model)",1.574,0.164
"Core Recovery/Removal (Slow 1100mV 100C Model)",3.04,0.562
"DQS vs CK (Slow 1100mV 100C Model)",0.233,-0.014
"Postamble (Slow 1100mV 100C Model)",0.444,0.444
"Read Capture (Slow 1100mV 100C Model)",0.133,0.086
"Write (Slow 1100mV 100C Model)",0.187,0.187
"Address Command (Slow 1100mV -40C Model)",0.569,0.556
"Bus Turnaround Time (Slow 1100mV -40C Model)",3.336,--
"Core (Slow 1100mV -40C Model)",1.573,0.216
"Core Recovery/Removal (Slow 1100mV -40C Model)",3.13,0.59
"DQS vs CK (Slow 1100mV -40C Model)",0.292,0.034
"Postamble (Slow 1100mV -40C Model)",0.413,0.413
"Read Capture (Slow 1100mV -40C Model)",0.177,0.129
"Write (Slow 1100mV -40C Model)",0.244,0.244
"Address Command (Fast 1100mV 100C Model)",0.596,0.643
"Bus Turnaround Time (Fast 1100mV 100C Model)",3.469,--
"Core (Fast 1100mV 100C Model)",2.113,0.083
"Core Recovery/Removal (Fast 1100mV 100C Model)",3.731,0.497
"DQS vs CK (Fast 1100mV 100C Model)",0.358,0.167
"Postamble (Fast 1100mV 100C Model)",0.585,0.585
"Read Capture (Fast 1100mV 100C Model)",0.323,0.276
"Write (Fast 1100mV 100C Model)",0.304,0.304
"Address Command (Fast 1100mV -40C Model)",0.57,0.667
"Bus Turnaround Time (Fast 1100mV -40C Model)",3.481,--
"Core (Fast 1100mV -40C Model)",2.113,0.076
"Core Recovery/Removal (Fast 1100mV -40C Model)",3.843,0.463
"DQS vs CK (Fast 1100mV -40C Model)",0.348,0.205
"Postamble (Fast 1100mV -40C Model)",0.599,0.599
"Read Capture (Fast 1100mV -40C Model)",0.324,0.276
"Write (Fast 1100mV -40C Model)",0.318,0.318
